X,CH1,CH2,
Second,Volt,Volt,
-1.19998e-01,0.00e+00,0.00e+00,
-1.19598e-01,0.00e+00,7.99e-02,
-1.19198e-01,0.00e+00,0.00e+00,
-1.18798e-01,7.99e-02,7.99e-02,
-1.18398e-01,0.00e+00,0.00e+00,
-1.17998e-01,7.99e-02,7.99e-02,
-1.17598e-01,7.99e-02,0.00e+00,
-1.17198e-01,0.00e+00,0.00e+00,
-1.16798e-01,0.00e+00,0.00e+00,
-1.16398e-01,7.99e-02,0.00e+00,
-1.15998e-01,0.00e+00,7.99e-02,
-1.15598e-01,7.99e-02,0.00e+00,
-1.15198e-01,7.99e-02,0.00e+00,
-1.14798e-01,0.00e+00,0.00e+00,
-1.14398e-01,0.00e+00,0.00e+00,
-1.13998e-01,0.00e+00,0.00e+00,
-1.13598e-01,0.00e+00,0.00e+00,
-1.13198e-01,7.99e-02,0.00e+00,
-1.12798e-01,0.00e+00,0.00e+00,
-1.12398e-01,0.00e+00,0.00e+00,
-1.11998e-01,0.00e+00,0.00e+00,
-1.11598e-01,7.99e-02,0.00e+00,
-1.11198e-01,7.99e-02,0.00e+00,
-1.10798e-01,0.00e+00,0.00e+00,
-1.10398e-01,0.00e+00,7.99e-02,
-1.09998e-01,7.99e-02,0.00e+00,
-1.09598e-01,7.99e-02,0.00e+00,
-1.09198e-01,0.00e+00,7.99e-02,
-1.08798e-01,0.00e+00,0.00e+00,
-1.08398e-01,7.99e-02,0.00e+00,
-1.07998e-01,7.99e-02,0.00e+00,
-1.07598e-01,0.00e+00,0.00e+00,
-1.07198e-01,7.99e-02,0.00e+00,
-1.06798e-01,0.00e+00,7.99e-02,
-1.06398e-01,0.00e+00,0.00e+00,
-1.05998e-01,7.99e-02,0.00e+00,
-1.05598e-01,0.00e+00,0.00e+00,
-1.05198e-01,0.00e+00,0.00e+00,
-1.04798e-01,0.00e+00,0.00e+00,
-1.04398e-01,7.99e-02,0.00e+00,
-1.03998e-01,7.99e-02,0.00e+00,
-1.03598e-01,0.00e+00,0.00e+00,
-1.03198e-01,7.99e-02,0.00e+00,
-1.02798e-01,0.00e+00,7.99e-02,
-1.02398e-01,7.99e-02,0.00e+00,
-1.01998e-01,0.00e+00,0.00e+00,
-1.01598e-01,0.00e+00,0.00e+00,
-1.01198e-01,0.00e+00,0.00e+00,
-1.00798e-01,7.99e-02,0.00e+00,
-1.00398e-01,0.00e+00,0.00e+00,
-9.99980e-02,0.00e+00,0.00e+00,
-9.95980e-02,0.00e+00,7.99e-02,
-9.91980e-02,0.00e+00,0.00e+00,
-9.87980e-02,7.99e-02,7.99e-02,
-9.83980e-02,7.99e-02,0.00e+00,
-9.79980e-02,0.00e+00,0.00e+00,
-9.75980e-02,0.00e+00,0.00e+00,
-9.71980e-02,0.00e+00,0.00e+00,
-9.67980e-02,0.00e+00,0.00e+00,
-9.63980e-02,7.99e-02,7.99e-02,
-9.59980e-02,0.00e+00,0.00e+00,
-9.55980e-02,7.99e-02,0.00e+00,
-9.51980e-02,7.99e-02,0.00e+00,
-9.47980e-02,0.00e+00,0.00e+00,
-9.43980e-02,0.00e+00,0.00e+00,
-9.39980e-02,7.99e-02,0.00e+00,
-9.35980e-02,0.00e+00,0.00e+00,
-9.31980e-02,7.99e-02,0.00e+00,
-9.27980e-02,0.00e+00,0.00e+00,
-9.23980e-02,7.99e-02,7.99e-02,
-9.19980e-02,7.99e-02,7.99e-02,
-9.15980e-02,0.00e+00,0.00e+00,
-9.11980e-02,0.00e+00,0.00e+00,
-9.07980e-02,7.99e-02,7.99e-02,
-9.03980e-02,0.00e+00,0.00e+00,
-8.99980e-02,7.99e-02,7.99e-02,
-8.95980e-02,0.00e+00,0.00e+00,
-8.91980e-02,0.00e+00,0.00e+00,
-8.87980e-02,0.00e+00,0.00e+00,
-8.83980e-02,7.99e-02,0.00e+00,
-8.79980e-02,7.99e-02,0.00e+00,
-8.75980e-02,0.00e+00,0.00e+00,
-8.71980e-02,7.99e-02,7.99e-02,
-8.67980e-02,0.00e+00,0.00e+00,
-8.63980e-02,0.00e+00,7.99e-02,
-8.59980e-02,0.00e+00,0.00e+00,
-8.55980e-02,0.00e+00,0.00e+00,
-8.51980e-02,7.99e-02,7.99e-02,
-8.47980e-02,0.00e+00,0.00e+00,
-8.43980e-02,7.99e-02,0.00e+00,
-8.39980e-02,0.00e+00,0.00e+00,
-8.35980e-02,7.99e-02,0.00e+00,
-8.31980e-02,0.00e+00,0.00e+00,
-8.27980e-02,7.99e-02,7.99e-02,
-8.23980e-02,0.00e+00,7.99e-02,
-8.19980e-02,7.99e-02,0.00e+00,
-8.15980e-02,0.00e+00,0.00e+00,
-8.11980e-02,7.99e-02,7.99e-02,
-8.07980e-02,0.00e+00,0.00e+00,
-8.03980e-02,7.99e-02,7.99e-02,
-7.99980e-02,0.00e+00,0.00e+00,
-7.95980e-02,7.99e-02,7.99e-02,
-7.91980e-02,0.00e+00,0.00e+00,
-7.87980e-02,7.99e-02,0.00e+00,
-7.83980e-02,7.99e-02,0.00e+00,
-7.79980e-02,0.00e+00,0.00e+00,
-7.75980e-02,0.00e+00,0.00e+00,
-7.71980e-02,7.99e-02,7.99e-02,
-7.67980e-02,0.00e+00,0.00e+00,
-7.63980e-02,7.99e-02,0.00e+00,
-7.59980e-02,0.00e+00,7.99e-02,
-7.55980e-02,0.00e+00,0.00e+00,
-7.51980e-02,0.00e+00,0.00e+00,
-7.47980e-02,7.99e-02,-1.60e-01,
-7.43980e-02,7.99e-02,0.00e+00,
-7.39980e-02,0.00e+00,0.00e+00,
-7.35980e-02,7.99e-02,0.00e+00,
-7.31980e-02,0.00e+00,0.00e+00,
-7.27980e-02,7.99e-02,0.00e+00,
-7.23980e-02,0.00e+00,7.99e-02,
-7.19980e-02,0.00e+00,0.00e+00,
-7.15980e-02,7.99e-02,0.00e+00,
-7.11980e-02,0.00e+00,0.00e+00,
-7.07980e-02,7.99e-02,7.99e-02,
-7.03980e-02,0.00e+00,0.00e+00,
-6.99980e-02,7.99e-02,7.99e-02,
-6.95980e-02,0.00e+00,0.00e+00,
-6.91980e-02,7.99e-02,0.00e+00,
-6.87980e-02,0.00e+00,0.00e+00,
-6.83980e-02,7.99e-02,7.99e-02,
-6.79980e-02,7.99e-02,0.00e+00,
-6.75980e-02,0.00e+00,0.00e+00,
-6.71980e-02,7.99e-02,0.00e+00,
-6.67980e-02,0.00e+00,7.99e-02,
-6.63980e-02,0.00e+00,0.00e+00,
-6.59980e-02,7.99e-02,0.00e+00,
-6.55980e-02,0.00e+00,0.00e+00,
-6.51980e-02,7.99e-02,0.00e+00,
-6.47980e-02,0.00e+00,0.00e+00,
-6.43980e-02,7.99e-02,0.00e+00,
-6.39980e-02,0.00e+00,0.00e+00,
-6.35980e-02,7.99e-02,7.99e-02,
-6.31980e-02,0.00e+00,0.00e+00,
-6.27980e-02,7.99e-02,0.00e+00,
-6.23980e-02,0.00e+00,0.00e+00,
-6.19980e-02,7.99e-02,0.00e+00,
-6.15980e-02,7.99e-02,0.00e+00,
-6.11980e-02,0.00e+00,0.00e+00,
-6.07980e-02,7.99e-02,0.00e+00,
-6.03980e-02,0.00e+00,0.00e+00,
-5.99980e-02,0.00e+00,0.00e+00,
-5.95980e-02,7.99e-02,7.99e-02,
-5.91980e-02,7.99e-02,0.00e+00,
-5.87980e-02,0.00e+00,0.00e+00,
-5.83980e-02,7.99e-02,0.00e+00,
-5.79980e-02,0.00e+00,0.00e+00,
-5.75980e-02,0.00e+00,0.00e+00,
-5.71980e-02,7.99e-02,7.99e-02,
-5.67980e-02,7.99e-02,0.00e+00,
-5.63980e-02,0.00e+00,7.99e-02,
-5.59980e-02,0.00e+00,0.00e+00,
-5.55980e-02,7.99e-02,7.99e-02,
-5.51980e-02,7.99e-02,0.00e+00,
-5.47980e-02,0.00e+00,0.00e+00,
-5.43980e-02,7.99e-02,0.00e+00,
-5.39980e-02,0.00e+00,0.00e+00,
-5.35980e-02,0.00e+00,0.00e+00,
-5.31980e-02,7.99e-02,0.00e+00,
-5.27980e-02,0.00e+00,0.00e+00,
-5.23980e-02,7.99e-02,0.00e+00,
-5.19980e-02,0.00e+00,0.00e+00,
-5.15980e-02,7.99e-02,7.99e-02,
-5.11980e-02,7.99e-02,0.00e+00,
-5.07980e-02,0.00e+00,0.00e+00,
-5.03980e-02,0.00e+00,0.00e+00,
-4.99980e-02,7.99e-02,7.99e-02,
-4.95980e-02,0.00e+00,0.00e+00,
-4.91980e-02,7.99e-02,0.00e+00,
-4.87980e-02,7.99e-02,0.00e+00,
-4.83980e-02,0.00e+00,0.00e+00,
-4.79980e-02,0.00e+00,0.00e+00,
-4.75980e-02,7.99e-02,0.00e+00,
-4.71980e-02,0.00e+00,0.00e+00,
-4.67980e-02,7.99e-02,0.00e+00,
-4.63980e-02,0.00e+00,0.00e+00,
-4.59980e-02,7.99e-02,0.00e+00,
-4.55980e-02,0.00e+00,0.00e+00,
-4.51980e-02,7.99e-02,0.00e+00,
-4.47980e-02,0.00e+00,0.00e+00,
-4.43980e-02,7.99e-02,7.99e-02,
-4.39980e-02,7.99e-02,0.00e+00,
-4.35980e-02,0.00e+00,0.00e+00,
-4.31980e-02,0.00e+00,0.00e+00,
-4.27980e-02,7.99e-02,7.99e-02,
-4.23980e-02,0.00e+00,0.00e+00,
-4.19980e-02,0.00e+00,0.00e+00,
-4.15980e-02,0.00e+00,0.00e+00,
-4.11980e-02,7.99e-02,7.99e-02,
-4.07980e-02,0.00e+00,0.00e+00,
-4.03980e-02,7.99e-02,7.99e-02,
-3.99980e-02,0.00e+00,0.00e+00,
-3.95980e-02,7.99e-02,0.00e+00,
-3.91980e-02,0.00e+00,0.00e+00,
-3.87980e-02,7.99e-02,0.00e+00,
-3.83980e-02,0.00e+00,0.00e+00,
-3.79980e-02,7.99e-02,0.00e+00,
-3.75980e-02,0.00e+00,0.00e+00,
-3.71980e-02,7.99e-02,0.00e+00,
-3.67980e-02,7.99e-02,0.00e+00,
-3.63980e-02,0.00e+00,7.99e-02,
-3.59980e-02,0.00e+00,0.00e+00,
-3.55980e-02,0.00e+00,0.00e+00,
-3.51980e-02,0.00e+00,0.00e+00,
-3.47980e-02,7.99e-02,0.00e+00,
-3.43980e-02,7.99e-02,0.00e+00,
-3.39980e-02,0.00e+00,0.00e+00,
-3.35980e-02,0.00e+00,0.00e+00,
-3.31980e-02,7.99e-02,7.99e-02,
-3.27980e-02,0.00e+00,0.00e+00,
-3.23980e-02,0.00e+00,0.00e+00,
-3.19980e-02,0.00e+00,0.00e+00,
-3.15980e-02,7.99e-02,7.99e-02,
-3.11980e-02,0.00e+00,0.00e+00,
-3.07980e-02,7.99e-02,0.00e+00,
-3.03980e-02,0.00e+00,0.00e+00,
-2.99980e-02,7.99e-02,7.99e-02,
-2.95980e-02,0.00e+00,0.00e+00,
-2.91980e-02,7.99e-02,0.00e+00,
-2.87980e-02,0.00e+00,7.99e-02,
-2.83980e-02,7.99e-02,0.00e+00,
-2.79980e-02,7.99e-02,0.00e+00,
-2.75980e-02,0.00e+00,0.00e+00,
-2.71980e-02,0.00e+00,0.00e+00,
-2.67980e-02,7.99e-02,0.00e+00,
-2.63980e-02,0.00e+00,0.00e+00,
-2.59980e-02,0.00e+00,7.99e-02,
-2.55980e-02,7.99e-02,0.00e+00,
-2.51980e-02,0.00e+00,7.99e-02,
-2.47980e-02,0.00e+00,0.00e+00,
-2.43980e-02,7.99e-02,7.99e-02,
-2.39980e-02,0.00e+00,0.00e+00,
-2.35980e-02,0.00e+00,7.99e-02,
-2.31980e-02,0.00e+00,0.00e+00,
-2.27980e-02,7.99e-02,7.99e-02,
-2.23980e-02,0.00e+00,0.00e+00,
-2.19980e-02,7.99e-02,7.99e-02,
-2.15980e-02,0.00e+00,0.00e+00,
-2.11980e-02,7.99e-02,0.00e+00,
-2.07980e-02,0.00e+00,7.99e-02,
-2.03980e-02,7.99e-02,0.00e+00,
-1.99980e-02,0.00e+00,0.00e+00,
-1.95980e-02,7.99e-02,0.00e+00,
-1.91980e-02,0.00e+00,0.00e+00,
-1.87980e-02,7.99e-02,7.99e-02,
-1.83980e-02,0.00e+00,0.00e+00,
-1.79980e-02,7.99e-02,7.99e-02,
-1.75980e-02,7.99e-02,0.00e+00,
-1.71980e-02,0.00e+00,0.00e+00,
-1.67980e-02,0.00e+00,0.00e+00,
-1.63980e-02,7.99e-02,0.00e+00,
-1.59980e-02,0.00e+00,0.00e+00,
-1.55980e-02,7.99e-02,7.99e-02,
-1.51980e-02,0.00e+00,0.00e+00,
-1.47980e-02,7.99e-02,0.00e+00,
-1.43980e-02,0.00e+00,0.00e+00,
-1.39980e-02,7.99e-02,7.99e-02,
-1.35980e-02,0.00e+00,0.00e+00,
-1.31980e-02,0.00e+00,7.99e-02,
-1.27980e-02,7.99e-02,0.00e+00,
-1.23980e-02,0.00e+00,7.99e-02,
-1.19980e-02,0.00e+00,0.00e+00,
-1.15980e-02,7.99e-02,0.00e+00,
-1.11980e-02,0.00e+00,0.00e+00,
-1.07980e-02,7.99e-02,7.99e-02,
-1.03980e-02,7.99e-02,0.00e+00,
-9.99804e-03,0.00e+00,0.00e+00,
-9.59804e-03,7.99e-02,7.99e-02,
-9.19804e-03,0.00e+00,0.00e+00,
-8.79804e-03,0.00e+00,7.99e-02,
-8.39804e-03,7.99e-02,0.00e+00,
-7.99804e-03,0.00e+00,0.00e+00,
-7.59804e-03,7.99e-02,0.00e+00,
-7.19804e-03,0.00e+00,0.00e+00,
-6.79804e-03,0.00e+00,0.00e+00,
-6.39804e-03,0.00e+00,0.00e+00,
-5.99804e-03,7.99e-02,7.99e-02,
-5.59804e-03,7.99e-02,0.00e+00,
-5.19804e-03,0.00e+00,7.99e-02,
-4.79804e-03,0.00e+00,0.00e+00,
-4.39804e-03,7.99e-02,0.00e+00,
-3.99804e-03,7.99e-02,0.00e+00,
-3.59804e-03,0.00e+00,7.99e-02,
-3.19804e-03,7.99e-02,0.00e+00,
-2.79804e-03,0.00e+00,7.99e-02,
-2.39804e-03,0.00e+00,0.00e+00,
-1.99804e-03,7.99e-02,7.99e-02,
-1.59804e-03,7.99e-02,0.00e+00,
-1.19804e-03,0.00e+00,0.00e+00,
-7.98040e-04,7.99e-02,0.00e+00,
-3.98040e-04,0.00e+00,7.99e-02,
1.96000e-06,7.99e-02,0.00e+00,
4.01960e-04,0.00e+00,0.00e+00,
8.01960e-04,7.99e-02,0.00e+00,
1.20196e-03,0.00e+00,7.99e-02,
1.60196e-03,0.00e+00,0.00e+00,
2.00196e-03,7.99e-02,0.00e+00,
2.40196e-03,7.99e-02,0.00e+00,
2.80196e-03,0.00e+00,7.99e-02,
3.20196e-03,0.00e+00,0.00e+00,
3.60196e-03,7.99e-02,7.99e-02,
4.00196e-03,0.00e+00,0.00e+00,
4.40196e-03,7.99e-02,0.00e+00,
4.80196e-03,0.00e+00,0.00e+00,
5.20196e-03,7.99e-02,7.99e-02,
5.60196e-03,0.00e+00,7.99e-02,
6.00196e-03,7.99e-02,0.00e+00,
6.40196e-03,0.00e+00,0.00e+00,
6.80196e-03,0.00e+00,7.99e-02,
7.20196e-03,0.00e+00,0.00e+00,
7.60196e-03,7.99e-02,0.00e+00,
8.00196e-03,7.99e-02,0.00e+00,
8.40196e-03,0.00e+00,7.99e-02,
8.80196e-03,0.00e+00,0.00e+00,
9.20196e-03,7.99e-02,7.99e-02,
9.60196e-03,0.00e+00,0.00e+00,
1.00020e-02,7.99e-02,7.99e-02,
1.04020e-02,0.00e+00,0.00e+00,
1.08020e-02,7.99e-02,0.00e+00,
1.12020e-02,7.99e-02,0.00e+00,
1.16020e-02,0.00e+00,0.00e+00,
1.20020e-02,0.00e+00,0.00e+00,
1.24020e-02,7.99e-02,0.00e+00,
1.28020e-02,7.99e-02,0.00e+00,
1.32020e-02,0.00e+00,7.99e-02,
1.36020e-02,7.99e-02,0.00e+00,
1.40020e-02,0.00e+00,0.00e+00,
1.44020e-02,0.00e+00,0.00e+00,
1.48020e-02,7.99e-02,7.99e-02,
1.52020e-02,7.99e-02,0.00e+00,
1.56020e-02,0.00e+00,7.99e-02,
1.60020e-02,0.00e+00,0.00e+00,
1.64020e-02,7.99e-02,0.00e+00,
1.68020e-02,0.00e+00,0.00e+00,
1.72020e-02,7.99e-02,7.99e-02,
1.76020e-02,0.00e+00,0.00e+00,
1.80020e-02,0.00e+00,0.00e+00,
1.84020e-02,7.99e-02,0.00e+00,
1.88020e-02,0.00e+00,7.99e-02,
1.92020e-02,0.00e+00,0.00e+00,
1.96020e-02,7.99e-02,7.99e-02,
2.00020e-02,7.99e-02,7.99e-02,
2.04020e-02,0.00e+00,0.00e+00,
2.08020e-02,0.00e+00,0.00e+00,
2.12020e-02,7.99e-02,7.99e-02,
2.16020e-02,0.00e+00,0.00e+00,
2.20020e-02,7.99e-02,7.99e-02,
2.24020e-02,0.00e+00,0.00e+00,
2.28020e-02,7.99e-02,7.99e-02,
2.32020e-02,7.99e-02,0.00e+00,
2.36020e-02,0.00e+00,7.99e-02,
2.40020e-02,0.00e+00,0.00e+00,
2.44020e-02,7.99e-02,7.99e-02,
2.48020e-02,0.00e+00,0.00e+00,
2.52020e-02,7.99e-02,7.99e-02,
2.56020e-02,0.00e+00,0.00e+00,
2.60020e-02,7.99e-02,7.99e-02,
2.64020e-02,0.00e+00,0.00e+00,
2.68020e-02,7.99e-02,7.99e-02,
2.72020e-02,7.99e-02,0.00e+00,
2.76020e-02,0.00e+00,0.00e+00,
2.80020e-02,0.00e+00,0.00e+00,
2.84020e-02,7.99e-02,7.99e-02,
2.88020e-02,7.99e-02,0.00e+00,
2.92020e-02,0.00e+00,7.99e-02,
2.96020e-02,0.00e+00,0.00e+00,
3.00020e-02,7.99e-02,7.99e-02,
3.04020e-02,7.99e-02,0.00e+00,
3.08020e-02,0.00e+00,7.99e-02,
3.12020e-02,0.00e+00,0.00e+00,
3.16020e-02,0.00e+00,0.00e+00,
3.20020e-02,7.99e-02,7.99e-02,
3.24020e-02,0.00e+00,0.00e+00,
3.28020e-02,0.00e+00,7.99e-02,
3.32020e-02,7.99e-02,0.00e+00,
3.36020e-02,0.00e+00,0.00e+00,
3.40020e-02,7.99e-02,7.99e-02,
3.44020e-02,0.00e+00,0.00e+00,
3.48020e-02,7.99e-02,7.99e-02,
3.52020e-02,0.00e+00,0.00e+00,
3.56020e-02,7.99e-02,0.00e+00,
3.60020e-02,0.00e+00,7.99e-02,
3.64020e-02,7.99e-02,0.00e+00,
3.68020e-02,0.00e+00,7.99e-02,
3.72020e-02,7.99e-02,0.00e+00,
3.76020e-02,0.00e+00,0.00e+00,
3.80020e-02,7.99e-02,0.00e+00,
3.84020e-02,0.00e+00,0.00e+00,
3.88020e-02,7.99e-02,7.99e-02,
3.92020e-02,0.00e+00,0.00e+00,
3.96020e-02,7.99e-02,7.99e-02,
4.00020e-02,0.00e+00,0.00e+00,
4.04020e-02,7.99e-02,7.99e-02,
4.08020e-02,0.00e+00,0.00e+00,
4.12020e-02,7.99e-02,7.99e-02,
4.16020e-02,0.00e+00,0.00e+00,
4.20020e-02,7.99e-02,7.99e-02,
4.24020e-02,7.99e-02,0.00e+00,
4.28020e-02,0.00e+00,7.99e-02,
4.32020e-02,7.99e-02,0.00e+00,
4.36020e-02,0.00e+00,0.00e+00,
4.40020e-02,0.00e+00,0.00e+00,
4.44020e-02,7.99e-02,0.00e+00,
4.48020e-02,0.00e+00,0.00e+00,
4.52020e-02,7.99e-02,7.99e-02,
4.56020e-02,0.00e+00,0.00e+00,
4.60020e-02,7.99e-02,7.99e-02,
4.64020e-02,0.00e+00,0.00e+00,
4.68020e-02,7.99e-02,7.99e-02,
4.72020e-02,0.00e+00,0.00e+00,
4.76020e-02,7.99e-02,7.99e-02,
4.80020e-02,0.00e+00,0.00e+00,
4.84020e-02,7.99e-02,7.99e-02,
4.88020e-02,7.99e-02,0.00e+00,
4.92020e-02,0.00e+00,0.00e+00,
4.96020e-02,0.00e+00,0.00e+00,
5.00020e-02,0.00e+00,0.00e+00,
5.04020e-02,0.00e+00,0.00e+00,
5.08020e-02,7.99e-02,7.99e-02,
5.12020e-02,0.00e+00,0.00e+00,
5.16020e-02,0.00e+00,7.99e-02,
5.20020e-02,7.99e-02,0.00e+00,
5.24020e-02,0.00e+00,0.00e+00,
5.28020e-02,7.99e-02,0.00e+00,
5.32020e-02,0.00e+00,7.99e-02,
5.36020e-02,7.99e-02,0.00e+00,
5.40020e-02,0.00e+00,0.00e+00,
5.44020e-02,7.99e-02,0.00e+00,
5.48020e-02,0.00e+00,0.00e+00,
5.52020e-02,7.99e-02,7.99e-02,
5.56020e-02,0.00e+00,0.00e+00,
5.60020e-02,0.00e+00,7.99e-02,
5.64020e-02,7.99e-02,0.00e+00,
5.68020e-02,0.00e+00,0.00e+00,
5.72020e-02,7.99e-02,0.00e+00,
5.76020e-02,7.99e-02,0.00e+00,
5.80020e-02,0.00e+00,0.00e+00,
5.84020e-02,0.00e+00,0.00e+00,
5.88020e-02,7.99e-02,0.00e+00,
5.92020e-02,0.00e+00,0.00e+00,
5.96020e-02,7.99e-02,7.99e-02,
6.00020e-02,0.00e+00,0.00e+00,
6.04020e-02,7.99e-02,7.99e-02,
6.08020e-02,0.00e+00,0.00e+00,
6.12020e-02,0.00e+00,7.99e-02,
6.16020e-02,7.99e-02,0.00e+00,
6.20020e-02,0.00e+00,0.00e+00,
6.24020e-02,7.99e-02,0.00e+00,
6.28019e-02,0.00e+00,0.00e+00,
6.32020e-02,0.00e+00,0.00e+00,
6.36020e-02,7.99e-02,0.00e+00,
6.40020e-02,0.00e+00,0.00e+00,
6.44020e-02,7.99e-02,0.00e+00,
6.48020e-02,0.00e+00,0.00e+00,
6.52020e-02,7.99e-02,0.00e+00,
6.56020e-02,0.00e+00,0.00e+00,
6.60020e-02,7.99e-02,0.00e+00,
6.64020e-02,0.00e+00,7.99e-02,
