    i,  t(s),    U(V),   I(mA), Tself, Tprob
    0,     6,  5.0748, -0.0009,  21.5, 808.5
    1,     6,  5.0744, -0.0009,  21.5, 808.5
    2,     6,  5.0746, -0.0009,  21.5, 808.5
    3,     7,  5.0748, -0.0009,  21.5, 808.5
    4,     7,  5.0745, -0.0009,  21.5, 808.5
    5,     7,  5.0745, -0.0012,  21.5, 808.5
    6,     8,  5.0749, -0.0012,  21.5, 808.5
    7,     8,  5.0745, -0.0012,  21.5, 808.5
    8,     8,  5.0746, -0.0014,  21.5, 808.5
    9,     9,  5.0748, -0.0014,  21.5, 808.5
   10,     9,  5.0745, -0.0014,  21.5, 808.5
   11,     9,  5.0744, -0.0016,  21.5, 808.5
   12,    10,  5.0746, -0.0016,  21.5, 808.5
   13,    10,  5.0743, -0.0016,  21.5, 808.5
   14,    10,  5.0744, -0.0018,  21.5, 808.5
   15,    11,  5.0747, -0.0018,  21.5, 808.5
   16,    11,  5.0744, -0.0018,  21.5, 808.5
   17,    11,  5.0745, -0.0018,  21.5, 808.5
   18,    12,  5.0748, -0.0016,  21.5, 808.5
   19,    12,  5.0743, -0.0014,  21.5, 808.5
   20,    12,  5.0744, -0.0014,  21.5, 808.5
   21,    13,  5.0748, -0.0012,  21.5, 808.5
   22,    13,  5.0744, -0.0014,  21.5, 808.5
   23,    13,  5.0742, -0.0014,  21.5, 808.5
   24,    14,  5.0748, -0.0014,  21.5, 808.5
   25,    14,  5.0745, -0.0016,  21.5, 808.5
   26,    14,  5.0746, -0.0016,  21.5, 808.5
   27,    15,  5.0749, -0.0016,  21.5, 808.5
   28,    15,  5.0744, -0.0016,  21.5, 808.5
   29,    15,  5.0745, -0.0016,  21.5, 808.5
   30,    16,  5.0748, -0.0016,  21.6, 808.6
   31,    16,  5.0755,  7.5353,  21.6, 808.6
   32,    16,  5.0755, 14.1057,  21.6, 808.6
   33,    17,  5.0759, 22.2514,  21.6, 808.6
   34,    17,  5.0760, 30.4866,  21.6, 808.6
   35,    17,  5.0761, 31.2349,  21.6, 808.6
   36,    18,  5.0758, 33.0337,  21.6, 808.6
   37,    18,  5.0757, 33.3485,  21.6, 808.6
   38,    18,  5.0756, 33.5831,  21.6, 808.6
   39,    19,  5.0758, 33.7811,  21.6, 808.6
   40,    19,  5.0760, 34.0637,  21.6, 808.6
   41,    19,  5.0759, 34.1741,  21.6, 808.6
   42,    20,  5.0761, 34.1577,  21.6, 808.6
   43,    20,  5.0759, 34.1540,  21.6, 808.6
   44,    20,  5.0760, 33.9638,  21.6, 808.6
   45,    21,  5.0759, 33.8227,  21.6, 808.6
   46,    21,  5.0761, 33.8074,  21.6, 808.6
   47,    21,  5.0760, 33.7641,  21.6, 808.6
   48,    22,  5.0760, 33.7126,  21.6, 808.6
   49,    22,  5.0763, 33.5465,  21.6, 808.6
   50,    22,  5.0761, 33.3317,  21.6, 808.6
   51,    23,  5.0761, 33.0006,  21.6, 808.6
   52,    23,  5.0762, 32.5846,  21.6, 808.6
   53,    23,  5.0763, 32.2839,  21.6, 808.6
   54,    24,  5.0762, 31.9180,  21.6, 808.6
   55,    24,  5.0762, 31.5788,  21.6, 808.6
   56,    24,  5.0763, 31.3152,  21.6, 808.6
   57,    25,  5.0762, 31.4257,  21.6, 808.6
   58,    25,  5.0765, 31.7070,  21.6, 808.6
   59,    25,  5.0764, 32.1130,  21.6, 808.6
   60,    26,  5.0762, 32.7131,  21.6, 808.6
   61,    26,  5.0762, 33.0351,  21.6, 808.6
   62,    26,  5.0762, 33.3237,  21.6, 808.6
   63,    27,  5.0761, 33.6031,  21.6, 808.6
   64,    27,  5.0759, 33.8263,  21.6, 808.6
   65,    27,  5.0761, 34.0461,  21.6, 808.6
   66,    28,  5.0762, 34.0377,  21.6, 808.6
   67,    28,  5.0764, 34.0178,  21.6, 808.6
   68,    28,  5.0762, 33.9082,  21.6, 808.6
   69,    29,  5.0764, 33.6902,  21.6, 808.6
   70,    29,  5.0761, 33.6692,  21.6, 808.6
   71,    29,  5.0762, 33.6489,  21.6, 808.6
   72,    30,  5.0762, 33.5819,  21.6, 808.6
   73,    30,  5.0763, 33.4982,  21.6, 808.6
   74,    30,  5.0761, 33.3107,  21.6, 808.6
   75,    31,  5.0761, 32.9734,  21.6, 808.6
   76,    31,  5.0764, 32.6258,  21.6, 808.6
   77,    31,  5.0765, 32.2493,  21.6, 808.6
   78,    32,  5.0763, 31.8692,  21.6, 808.6
   79,    32,  5.0764, 31.5892,  21.6, 808.6
   80,    32,  5.0763, 31.2584,  21.6, 808.6
   81,    33,  5.0761, 31.3103,  21.6, 808.6
   82,    33,  5.0761, 31.5382,  21.6, 808.6
   83,    33,  5.0763, 31.8850,  21.6, 808.6
   84,    34,  5.0761, 32.4591,  21.6, 808.6
   85,    34,  5.0765, 32.7813,  21.6, 808.6
   86,    34,  5.0763, 33.1179,  21.6, 808.6
   87,    35,  5.0763, 33.3892,  21.6, 808.6
   88,    35,  5.0763, 33.5523,  21.6, 808.6
   89,    35,  5.0760, 33.8224,  21.6, 808.6
   90,    36,  5.0760, 33.8472,  21.6, 808.6
   91,    36,  5.0760, 33.8153,  21.6, 808.6
   92,    36,  5.0760, 33.7907,  21.6, 808.6
   93,    37,  5.0761, 33.5779,  21.6, 808.6
   94,    37,  5.0765, 33.5188,  21.6, 808.6
   95,    37,  5.0765, 33.5128,  21.6, 808.6
   96,    38,  5.0764, 33.4581,  21.6, 808.6
   97,    38,  5.0764, 33.4280,  21.6, 808.6
   98,    38,  5.0763, 33.2443,  21.6, 808.6
   99,    39,  5.0763, 32.9681,  21.6, 808.6
  100,    39,  5.0763, 32.6493,  21.6, 808.6
  101,    39,  5.0764, 32.2114,  21.6, 808.6
  102,    40,  5.0763, 31.8849,  21.6, 808.6
  103,    40,  5.0766, 31.5775,  21.6, 808.6
  104,    40,  5.0765, 31.2049,  21.6, 808.6
  105,    41,  5.0765, 31.0912,  21.6, 808.6
  106,    41,  5.0765, 31.2462,  21.6, 808.6
  107,    41,  5.0762, 31.5616,  21.6, 808.6
  108,    42,  5.0762, 32.0560,  21.6, 808.6
  109,    42,  5.0763, 32.5314,  21.6, 808.6
  110,    42,  5.0761, 32.8881,  21.6, 808.6
  111,    43,  5.0762, 33.1502,  21.6, 808.6
  112,    43,  5.0764, 33.3734,  21.6, 808.6
  113,    43,  5.0763, 33.6597,  21.6, 808.6
  114,    44,  5.0764, 33.7817,  21.6, 808.6
  115,    44,  5.0764, 33.7644,  21.6, 808.6
  116,    44,  5.0760, 33.7524,  21.6, 808.6
  117,    45,  5.0761, 33.5654,  21.6, 808.6
  118,    45,  5.0762, 33.4075,  21.6, 808.6
  119,    45,  5.0763, 33.3919,  21.6, 808.6
  120,    46,  5.0761, 33.3557,  21.6, 808.6
  121,    46,  5.0764, 33.2993,  21.6, 808.6
  122,    46,  5.0765, 33.1434,  21.6, 808.6
  123,    47,  5.0765, 32.9397,  21.6, 808.6
  124,    47,  5.0766, 32.6053,  21.6, 808.6
  125,    47,  5.0764, 32.2000,  21.6, 808.6
  126,    48,  5.0764, 31.8924,  21.6, 808.6
  127,    48,  5.0764, 31.5160,  21.6, 808.6
  128,    48,  5.0764, 31.1852,  21.6, 808.6
  129,    49,  5.0764, 30.9119,  21.6, 808.6
  130,    49,  5.0765, 31.0176,  21.6, 808.6
  131,    49,  5.0765, 31.2875,  21.6, 808.6
  132,    50,  5.0765, 31.6835,  21.6, 808.6
  133,    50,  5.0765, 32.2814,  21.6, 808.6
  134,    50,  5.0761, 32.5912,  21.6, 808.6
  135,    51,  5.0762, 32.8868,  21.6, 808.6
  136,    51,  5.0762, 33.1648,  21.6, 808.6
  137,    51,  5.0763, 33.3747,  21.6, 808.6
  138,    52,  5.0761, 33.6035,  21.6, 808.6
  139,    52,  5.0765, 33.5958,  21.6, 808.6
  140,    52,  5.0765, 33.5684,  21.6, 808.6
  141,    53,  5.0765, 33.4706,  21.6, 808.6
  142,    53,  5.0766, 33.2518,  21.6, 808.6
  143,    53,  5.0764, 33.2274,  21.6, 808.6
  144,    54,  5.0763, 33.2112,  21.6, 808.6
  145,    54,  5.0764, 33.1447,  21.6, 808.6
  146,    54,  5.0763, 33.0706,  21.6, 808.6
  147,    55,  5.0763, 32.8843,  21.6, 808.6
  148,    55,  5.0764, 32.7548,  21.6, 808.6
  149,    55,  5.0765, 32.6258,  21.6, 808.6
  150,    56,  5.0766, 32.4333,  21.6, 808.6
  151,    56,  5.0766, 32.2342,  21.6, 808.6
  152,    56,  5.0765, 31.9357,  21.6, 808.6
  153,    57,  5.0765, 31.5603,  21.6, 808.6
  154,    57,  5.0764, 31.5842,  21.6, 808.6
  155,    57,  5.0762, 31.7970,  21.6, 808.6
  156,    58,  5.0763, 32.1320,  21.6, 808.6
  157,    58,  5.0763, 32.6994,  21.6, 808.6
  158,    58,  5.0765, 33.0268,  21.6, 808.6
  159,    59,  5.0765, 33.3720,  21.6, 808.6
  160,    59,  5.0765, 33.6466,  21.6, 808.6
  161,    59,  5.0763, 33.8037,  21.6, 808.6
  162,    60,  5.0761, 34.0788,  21.7, 808.7
  163,    60,  5.0762, 34.1062,  21.7, 808.7
  164,    60,  5.0762, 34.0735,  21.7, 808.7
  165,    61,  5.0764, 34.0562,  21.7, 808.7
  166,    61,  5.0762, 33.8474,  21.7, 808.7
  167,    61,  5.0763, 33.7824,  21.7, 808.7
  168,    62,  5.0763, 33.7746,  21.6, 808.6
  169,    62,  5.0763, 33.7193,  21.6, 808.6
  170,    62,  5.0762, 33.6859,  21.6, 808.6
  171,    63,  5.0763, 33.4989,  21.6, 808.6
  172,    63,  5.0764, 33.2258,  21.6, 808.6
  173,    63,  5.0765, 32.9068,  21.6, 808.6
  174,    64,  5.0765, 32.4658,  21.6, 808.6
  175,    64,  5.0764, 32.1426,  21.6, 808.6
  176,    64,  5.0765, 31.8275,  21.6, 808.6
  177,    65,  5.0765, 31.4554,  21.6, 808.6
  178,    65,  5.0765, 31.3252,  21.6, 808.6
  179,    65,  5.0763, 31.4794,  21.6, 808.6
  180,    66,  5.0762, 31.7951,  21.6, 808.6
  181,    66,  5.0763, 32.2843,  21.6, 808.6
  182,    66,  5.0762, 32.7747,  21.6, 808.6
  183,    67,  5.0762, 33.1307,  21.7, 808.7
  184,    67,  5.0762, 33.3934,  21.7, 808.7
  185,    67,  5.0762, 33.6223,  21.7, 808.7
  186,    68,  5.0762, 33.9036,  21.7, 808.7
  187,    68,  5.0763, 34.0289,  21.7, 808.7
  188,    68,  5.0762, 34.0110,  21.7, 808.7
  189,    69,  5.0763, 33.9976,  21.6, 808.6
  190,    69,  5.0761, 33.8136,  21.6, 808.6
  191,    69,  5.0762, 33.6528,  21.6, 808.6
  192,    70,  5.0763, 33.6344,  21.7, 808.7
  193,    70,  5.0762, 33.5989,  21.7, 808.7
  194,    70,  5.0763, 33.5427,  21.7, 808.7
  195,    71,  5.0764, 33.3987,  21.6, 808.6
  196,    71,  5.0765, 33.1971,  21.6, 808.6
  197,    71,  5.0765, 32.8632,  21.6, 808.6
