    i,  t(s),    U(V),   I(mA), Tself, Tprob
    0,   448, -0.0024, -0.0009,  21.1,  19.8
    1,   448, -0.0024, -0.0009,  21.1,  19.8
    2,   449, -0.0024, -0.0009,  21.2,  19.9
    3,   449, -0.0024, -0.0009,  21.2,  19.9
    4,   449, -0.0024, -0.0009,  21.2,  19.9
    5,   450, -0.0024, -0.0009,  21.3,  20.0
    6,   450, -0.0025, -0.0009,  21.3,  20.0
    7,   450, -0.0023, -0.0009,  21.3,  20.1
    8,   451, -0.0024, -0.0009,  21.3,  20.0
    9,   451, -0.0024, -0.0009,  21.3,  20.0
   10,   451, -0.0023, -0.0009,  21.3,  20.1
   11,   452, -0.0022, -0.0009,  21.3,  20.1
   12,   452, -0.0021, -0.0009,  21.3,  20.2
   13,   452, -0.0021, -0.0009,  21.3,  20.2
   14,   453, -0.0022, -0.0009,  21.3,  20.1
   15,   453, -0.0020, -0.0009,  21.3,  20.2
   16,   453, -0.0019, -0.0009,  21.3,  20.3
   17,   454,  0.0002, -0.0009,  21.2,  21.3
   18,   454,  0.0055, -0.0009,  21.2,  23.9
   19,   454,  0.0035, -0.0009,  21.2,  22.9
   20,   455,  0.0022, -0.0009,  21.1,  22.2
   21,   455,  0.0015, -0.0009,  21.1,  21.8
   22,   455,  0.0010, -0.0009,  21.1,  21.6
   23,   456,  0.0006, -0.0009,  21.1,  21.4
   24,   456,  0.0003, -0.0009,  21.1,  21.2
   25,   456,  0.0006, -0.0009,  21.1,  21.4
   26,   457,  0.0051, -0.0009,  21.1,  23.6
   27,   457,  0.0127, -0.0009,  21.1,  27.4
   28,   457,  0.0239, -0.0009,  21.1,  32.9
   29,   458,  0.0311, -0.0009,  21.1,  36.5
   30,   458,  0.0356, -0.0009,  21.1,  38.7
   31,   458,  0.0402, -0.0009,  21.1,  40.9
   32,   459,  0.0494, -0.0009,  21.0,  45.3
   33,   459,  0.0634, -0.0009,  21.0,  52.1
   34,   459,  0.0681, -0.0009,  21.0,  54.4
   35,   460,  0.0782, -0.0009,  21.0,  59.2
   36,   460,  0.0808, -0.0009,  21.0,  60.5
   37,   460,  0.0910, -0.0009,  21.0,  65.4
   38,   461,  0.0934, -0.0009,  21.0,  66.5
   39,   461,  0.0926, -0.0009,  21.0,  66.2
   40,   461,  0.1221, -0.0009,  21.0,  80.2
   41,   462,  0.1481, -0.0009,  21.0,  92.6
   42,   462,  0.1745, -0.0009,  21.0, 105.1
   43,   462,  0.1941, -0.0009,  21.0, 114.4
   44,   463,  0.2086, -0.0009,  21.0, 121.3
   45,   463,  0.2278, -0.0009,  21.0, 130.4
   46,   463,  0.2376, -0.0009,  21.0, 135.1
   47,   464,  0.2479, -0.0009,  21.0, 140.1
   48,   464,  0.2679, -0.0009,  21.0, 149.7
   49,   464,  0.2849, -0.0009,  21.0, 158.0
   50,   465,  0.3005, -0.0009,  21.0, 165.6
   51,   465,  0.3151, -0.0009,  21.0, 172.7
   52,   465,  0.3567, -0.0009,  21.0, 193.1
   53,   466,  0.4137, -0.0009,  21.0, 221.3
   54,   466,  0.4441, -0.0009,  21.0, 236.2
   55,   466,  0.4650, -0.0009,  21.0, 246.4
   56,   467,  0.4802, -0.0009,  21.0, 253.9
   57,   467,  0.4934, -0.0009,  21.0, 260.3
   58,   467,  0.5108, -0.0009,  21.0, 268.7
   59,   468,  0.5289, -0.0009,  21.0, 277.5
   60,   468,  0.5428, -0.0009,  21.0, 284.2
   61,   468,  0.5533, -0.0009,  21.0, 289.2
   62,   469,  0.5614, -0.0009,  20.9, 293.0
   63,   469,  0.5680, -0.0009,  20.9, 296.2
   64,   469,  0.5728, -0.0009,  20.9, 298.5
   65,   470,  0.5769, -0.0009,  20.9, 300.4
   66,   470,  0.5805, -0.0009,  20.9, 302.1
   67,   470,  0.5838, -0.0009,  20.9, 303.7
   68,   471,  0.5867, -0.0009,  21.0, 305.2
   69,   471,  0.5896, -0.0009,  21.0, 306.6
   70,   471,  0.5921, -0.0009,  21.0, 307.8
   71,   472,  0.5943, -0.0009,  20.9, 308.7
   72,   472,  0.5958, -0.0009,  20.9, 309.5
   73,   472,  0.5966, -0.0009,  20.9, 309.9
   74,   473,  0.5969, -0.0009,  20.9, 310.0
   75,   473,  0.5969, -0.0009,  20.9, 310.0
   76,   473,  0.5969, -0.0009,  20.9, 310.0
   77,   474,  0.5966, -0.0009,  20.9, 309.9
   78,   474,  0.5965, -0.0009,  20.9, 309.8
   79,   474,  0.5963, -0.0009,  20.9, 309.7
   80,   475,  0.5961, -0.0009,  20.9, 309.6
   81,   475,  0.5957, -0.0009,  20.9, 309.4
   82,   475,  0.5956, -0.0009,  20.9, 309.4
   83,   476,  0.5956, -0.0009,  20.9, 309.4
   84,   476,  0.5958, -0.0009,  20.9, 309.5
   85,   476,  0.5959, -0.0009,  20.9, 309.5
   86,   477,  0.5963, -0.0009,  20.8, 309.6
   87,   477,  0.5966, -0.0009,  20.8, 309.8
   88,   477,  0.5969, -0.0009,  20.8, 309.9
   89,   478,  0.5968, -0.0012,  20.9, 309.9
   90,   478,  0.5969, -0.0012,  20.9, 310.0
   91,   478,  0.5974, -0.0012,  20.9, 310.2
   92,   479,  0.5976, -0.0012,  20.8, 310.2
   93,   479,  0.5975, -0.0009,  20.8, 310.2
   94,   479,  0.5973, -0.0009,  20.8, 310.1
   95,   480,  0.5969, -0.0009,  20.8, 309.9
   96,   480,  0.5965, -0.0009,  20.8, 309.7
   97,   480,  0.5963, -0.0009,  20.8, 309.6
   98,   481,  0.5962, -0.0009,  20.8, 309.6
   99,   481,  0.5962, -0.0009,  20.8, 309.6
  100,   481,  0.5959, -0.0009,  20.8, 309.4
  101,   482,  0.5955, -0.0009,  20.8, 309.2
  102,   482,  0.5949, -0.0009,  20.8, 308.9
  103,   482,  0.5945, -0.0009,  20.8, 308.8
  104,   483,  0.5943, -0.0009,  20.8, 308.6
  105,   483,  0.5937, -0.0009,  20.8, 308.3
  106,   483,  0.5930, -0.0009,  20.8, 308.0
  107,   484,  0.5924, -0.0009,  20.8, 307.8
  108,   484,  0.5921, -0.0009,  20.8, 307.6
  109,   484,  0.5915, -0.0009,  20.8, 307.3
  110,   485,  0.5911, -0.0009,  20.8, 307.1
  111,   485,  0.5907, -0.0009,  20.8, 306.9
  112,   485,  0.5905, -0.0009,  20.8, 306.8
  113,   486,  0.5904, -0.0012,  20.8, 306.8
  114,   486,  0.5906, -0.0012,  20.8, 306.8
  115,   486,  0.5909, -0.0012,  20.8, 307.0
  116,   487,  0.5914, -0.0012,  20.8, 307.2
  117,   487,  0.5920, -0.0009,  20.8, 307.5
  118,   487,  0.5926, -0.0009,  20.8, 307.8
  119,   488,  0.5932, -0.0009,  20.8, 308.1
  120,   488,  0.5941, -0.0009,  20.8, 308.5
  121,   488,  0.5946, -0.0009,  20.8, 308.8
  122,   489,  0.5951, -0.0009,  20.8, 309.0
  123,   489,  0.5954, -0.0009,  20.8, 309.2
  124,   489,  0.5956, -0.0009,  20.8, 309.3
  125,   490,  0.5958, -0.0009,  20.8, 309.4
  126,   490,  0.5958, -0.0009,  20.8, 309.4
  127,   490,  0.5958, -0.0009,  20.8, 309.4
  128,   491,  0.5956, -0.0009,  20.8, 309.3
  129,   491,  0.5954, -0.0009,  20.8, 309.2
  130,   491,  0.5945, -0.0009,  20.8, 308.8
  131,   492,  0.5941, -0.0009,  20.8, 308.5
  132,   492,  0.5937, -0.0009,  20.8, 308.3
  133,   492,  0.5921, -0.0009,  20.8, 307.6
  134,   493,  0.5906, -0.0009,  20.8, 306.8
  135,   493,  0.5898, -0.0009,  20.8, 306.5
  136,   493,  0.5894, -0.0009,  20.8, 306.3
  137,   494,  0.5889, -0.0009,  20.7, 306.0
  138,   494,  0.5887, -0.0009,  20.7, 305.9
  139,   494,  0.5887, -0.0009,  20.7, 305.9
  140,   495,  0.5889, -0.0009,  20.7, 306.0
  141,   495,  0.5890, -0.0009,  20.7, 306.0
  142,   495,  0.5893, -0.0009,  20.7, 306.2
  143,   496,  0.5896, -0.0009,  20.7, 306.3
  144,   496,  0.5899, -0.0009,  20.7, 306.4
  145,   496,  0.5901, -0.0009,  20.7, 306.6
  146,   497,  0.5906, -0.0009,  20.7, 306.7
  147,   497,  0.5908, -0.0009,  20.7, 306.8
  148,   497,  0.5913, -0.0009,  20.7, 307.1
  149,   498,  0.5918, -0.0009,  20.7, 307.3
  150,   498,  0.5923, -0.0009,  20.7, 307.6
  151,   498,  0.5926, -0.0009,  20.7, 307.7
  152,   499,  0.5932, -0.0009,  20.7, 308.0
  153,   499,  0.5945, -0.0009,  20.7, 308.7
  154,   499,  0.5952, -0.0009,  20.7, 309.0
  155,   500,  0.5952, -0.0009,  20.7, 309.0
  156,   500,  0.5950, -0.0009,  20.7, 308.9
  157,   500,  0.5949, -0.0009,  20.7, 308.8
  158,   501,  0.5948, -0.0009,  20.8, 308.9
  159,   501,  0.5947, -0.0009,  20.8, 308.8
  160,   501,  0.5944, -0.0009,  20.8, 308.7
  161,   502,  0.5942, -0.0009,  20.7, 308.5
  162,   502,  0.5934, -0.0009,  20.7, 308.1
  163,   502,  0.5928, -0.0009,  20.7, 307.8
  164,   503,  0.5924, -0.0009,  20.8, 307.8
  165,   503,  0.5921, -0.0009,  20.8, 307.6
  166,   503,  0.5920, -0.0009,  20.8, 307.5
  167,   504,  0.5921, -0.0009,  20.8, 307.6
  168,   504,  0.5922, -0.0009,  20.8, 307.6
  169,   504,  0.5923, -0.0009,  20.8, 307.7
  170,   505,  0.5926, -0.0009,  20.8, 307.8
  171,   505,  0.5929, -0.0009,  20.8, 308.0
  172,   505,  0.5927, -0.0009,  20.8, 307.9
  173,   506,  0.5925, -0.0009,  20.8, 307.8
  174,   506,  0.5929, -0.0009,  20.8, 308.0
  175,   506,  0.5930, -0.0009,  20.8, 308.0
  176,   507,  0.5934, -0.0009,  20.8, 308.2
  177,   507,  0.5939, -0.0009,  20.8, 308.4
  178,   507,  0.5942, -0.0009,  20.8, 308.6
  179,   508,  0.5944, -0.0009,  20.8, 308.7
  180,   508,  0.5948, -0.0009,  20.8, 308.9
  181,   508,  0.5949, -0.0009,  20.8, 308.9
  182,   509,  0.5946, -0.0009,  20.8, 308.8
  183,   509,  0.5943, -0.0009,  20.8, 308.6
  184,   509,  0.5938, -0.0009,  20.8, 308.4
  185,   510,  0.5932, -0.0009,  20.8, 308.1
  186,   510,  0.5927, -0.0009,  20.8, 307.9
  187,   510,  0.5923, -0.0009,  20.8, 307.7
  188,   511,  0.5918, -0.0009,  20.8, 307.4
  189,   511,  0.5911, -0.0009,  20.8, 307.1
  190,   511,  0.5906, -0.0009,  20.8, 306.8
  191,   512,  0.5901, -0.0009,  20.8, 306.6
  192,   512,  0.5898, -0.0009,  20.8, 306.5
  193,   512,  0.5896, -0.0009,  20.8, 306.4
  194,   513,  0.5896, -0.0009,  20.8, 306.4
  195,   513,  0.5896, -0.0009,  20.8, 306.4
  196,   513,  0.5894, -0.0009,  20.8, 306.3
  197,   514,  0.5893, -0.0009,  20.8, 306.3
  198,   514,  0.5619, -0.0009,  20.8, 293.2
  199,   514,  0.5039, -0.0009,  20.8, 265.2
  200,   515,  0.4633, -0.0009,  20.8, 245.4
  201,   515,  0.4302, -0.0009,  20.8, 229.2
  202,   515,  0.4051, -0.0009,  20.8, 216.8
  203,   516,  0.3912, -0.0009,  20.8, 210.0
  204,   516,  0.3639, -0.0009,  20.8, 196.5
  205,   516,  0.3440, -0.0009,  20.8, 186.7
  206,   517,  0.4241, -0.0009,  20.8, 226.2
  207,   517,  0.4581, -0.0009,  20.8, 242.9
  208,   517,  0.4491, -0.0009,  20.8, 238.4
  209,   518,  0.5342, -0.0009,  20.7, 279.7
  210,   518,  0.5076, -0.0009,  20.7, 266.9
  211,   518,  0.4453, -0.0009,  20.7, 236.5
  212,   519,  0.4082, -0.0009,  20.7, 218.2
  213,   519,  0.3977, -0.0012,  20.7, 213.1
  214,   519,  0.3693, -0.0012,  20.7, 199.0
  215,   520,  0.3457, -0.0012,  20.7, 187.4
  216,   520,  0.3254, -0.0012,  20.7, 177.4
  217,   520,  0.3083, -0.0009,  20.7, 169.1
  218,   521,  0.2935, -0.0009,  20.7, 161.9
  219,   521,  0.2796, -0.0009,  20.7, 155.1
  220,   521,  0.2666, -0.0009,  20.7, 148.8
  221,   522,  0.2539, -0.0009,  20.8, 142.8
  222,   522,  0.2415, -0.0012,  20.8, 136.8
  223,   522,  0.2308, -0.0012,  20.8, 131.7
  224,   523,  0.2217, -0.0012,  20.7, 127.3
  225,   523,  0.2139, -0.0012,  20.7, 123.5
